date,location,category,title,price_student,price_guest,price_per_100_g,icons,allergens,co2_portion,c02_100g,kj_portion,kcal_portion,fat_portion,sfat_portion,carbs_portion,sugar_portion,protein_portion,salt_portion,kj_100g,kcal_100g,fat_100g,sfat_100g,carbs_100g,sugar_100g,protein_100g,salt_100g
"2023-01-09","MENSA STUTTGART-VAIHINGEN","DESSERT","Kirschjoghurt","0.99","1.39","false","vegetarisch","2, La","349.2","194.0","721.8","172.0","5.6","3.4"," 22.5 ","21.4 ","6.8 ","0.3 ","401.0","96.0","3.1","1.9"," 12.5 ","11.9 ","3.8 ","0.2 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","DESSERT","Creme mit Stracciatella-Geschmack","1.19","1.59","false","vegetarisch","La","313.8","222.5","892.0","213.0","8.1","5.9"," 29.9 ","22.7 ","4.3 ","0.3 ","632.7","151.0","5.7","4.2"," 21.2 ","16.1 ","3.1 ","0.2 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","DESSERT","Berliner mit Fruchtfüllung","0.66","0.66","false","vegetarisch","Ei, La, GlW","0.2","0.2","1273.1","304.0","11.9","4.1"," 43.9 ","16.0 ","5.3 ","0.5 ","1591.4","380.0","14.9","5.1"," 54.9 ","20.0 ","6.6 ","0.6 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","VORSPEISE","Lauchcremsuppe","0.99","1.39","false","vegetarisch","La, Sl, GlW","","","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","VEGANER RENNER","Alu Gobhi - indisches Blumenkohl-Kartoffel-Curry","2.99","5.49","false","vegan,veganer renner","1, Sl, GlH","217.0","57.0","1123.8","268.0","10.0","2.6"," 32.3 ","6.8 ","8.5 ","0.7 ","295.0","70.0","2.6","0.7"," 8.5 ","1.8 ","2.2 ","0.2 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Älpler Makkaroni mit Kartoffeln und Apfelmus","3.50","6.00","false","schwein","1, 3, Ei, La, Sl, GlW","1076.1","192.2","3449.7","824.0","39.0","25.2"," 85.2 ","28.7 ","29.6 ","6.1 ","616.0","147.0","7.0","4.5"," 15.2 ","5.1 ","5.3 ","1.1 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Seelachsfilet auf mediterranem Gemüsebett und Reis","5.40","7.90","false","msc-zertifizierter fisch (msc-c-51632)","Fi, Sl, GlW","1237.4","205.9","3310.9","791.0","33.2","9.1"," 78.7 ","8.1 ","40.8 ","3.0 ","550.9","132.0","5.5","1.5"," 13.1 ","1.4 ","6.8 ","0.5 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","AKTION","Burger Bar","1.10","1.60","true","rind/schwein","1, 2, 3, 5, 7, 8, Ei, La, Sf, Se, Sw, GlW, GlD, GlR, GlG, GlH","410.1","","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 ","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Soja-Pflaume mit Mienudeln Schweinefleischstreifen zum Wokgericht","1.10","1.60","true","schwein","So, GlW","1242.1","","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 ","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Soja-Pflaume mit Mienudeln","1.10","1.60","true","vegan","So, GlW","288.5","","1884.8","450.0","1.6","0.4"," 88.3 ","25.0 ","14.3 ","7.4 ","1884.8","450.0","1.6","0.4"," 88.3 ","25.0 ","14.3 ","7.4 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","AKTION","Flammkuchen Elsässer Art","4.95","7.45","false","schwein","1, 3, La, GlW","","","3222.2","770.0","39.0","19.2"," 81.1 ","3.0 ","23.7 ","4.7 ","1074.1","257.0","13.0","6.4"," 27.0 ","1.0 ","7.9 ","1.6 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","BEILAGE","Kaisergemüse","0.99","1.39","false","vegan","Sl","","","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","BEILAGE","Pommes frites","1.19","1.59","false","vegan"," 
													
CO2 pro Portion1296.4 gNährwerte pro PortionBrennwert: 2029.3 kj / 485.0 kcalFett: 30.1 g - davon ges. FS: 6.6 gKohlenhydrate: 46.2 g - davon Zucker: 1.1 gEiweiß: 5.5 gSalz: 1.1 g
CO2 pro 100 g589.3 gNährwerte pro 100 gBrennwert: 922.4 kj / 220.0 kcalFett: 13.7 g - davon ges. FS: 3.0 gKohlenhydrate: 21.0 g - davon Zucker: 0.5 gEiweiß: 2.5 gSalz: 0.5 g

 ","1296.4","589.3","2029.3","485.0","30.1","6.6"," 46.2 ","1.1 ","5.5 ","1.1 ","922.4","220.0","13.7","3.0"," 21.0 ","0.5 ","2.5 ","0.5 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","BEILAGE","Reis","0.99","1.39","false","vegan"," 
													
CO2 pro Portion226.2 gNährwerte pro PortionBrennwert: 1352.3 kj / 323.0 kcalFett: 8.6 g - davon ges. FS: 4.2 gKohlenhydrate: 55.3 g - davon Zucker: 0.2 gEiweiß: 5.1 gSalz: 1.0 g
CO2 pro 100 g107.7 gNährwerte pro 100 gBrennwert: 644.0 kj / 154.0 kcalFett: 4.1 g - davon ges. FS: 2.0 gKohlenhydrate: 26.3 g - davon Zucker: 0.1 gEiweiß: 2.4 gSalz: 0.5 g

 ","226.2","107.7","1352.3","323.0","8.6","4.2"," 55.3 ","0.2 ","5.1 ","1.0 ","644.0","154.0","4.1","2.0"," 26.3 ","0.1 ","2.4 ","0.5 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","SALAT","Beilagensalat","0.99","1.39","false","vegan"," 
													
CO2 pro Portion14.9 gNährwerte pro PortionBrennwert: 41.5 kj / 10.0 kcalFett: 0.1 g - davon ges. FS: 0.0 gKohlenhydrate: 1.1 g - davon Zucker: 0.9 gEiweiß: 0.8 gSalz: 0.1 g
CO2 pro 100 g29.8 gNährwerte pro 100 gBrennwert: 83.0 kj / 20.0 kcalFett: 0.2 g - davon ges. FS: 0.1 gKohlenhydrate: 2.2 g - davon Zucker: 1.8 gEiweiß: 1.6 gSalz: 0.1 g

 ","14.9","29.8","41.5","10.0","0.1","0.0"," 1.1 ","0.9 ","0.8 ","0.1 ","83.0","20.0","0.2","0.1"," 2.2 ","1.8 ","1.6 ","0.1 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","DESSERT","Mousse mit Limone-Joghurt-Geschmack","1.19","1.59","false","vegetarisch","La","319.0","236.3","809.9","193.0","8.3","5.7"," 23.4 ","18.7 ","5.5 ","0.2 ","599.9","143.0","6.2","4.2"," 17.3 ","13.8 ","4.1 ","0.1 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","DESSERT","Himbeerquark","1.19","1.59","false","vegetarisch","La","684.5","326.0","666.5","159.0","0.6","0.0"," 21.4 ","21.4 ","15.2 ","0.2 ","317.4","76.0","0.3","0.0"," 10.2 ","10.2 ","7.2 ","0.1 "
"2023-01-10","MENSA STUTTGART-VAIHINGEN","BUFFET","Salatbuffet","1.10","1.60","true","vegetarisch","2, 3, 5, 8, 10, Ei, La, Sl, Sf, Se, Sw, GlW","2961.4","88.7","9999.9","999.9","242.8","37.4"," 379.1 ","187.5 ","76.5 ","36.4 ","526.3","126.0","7.4","1.1"," 11.8 ","5.9 ","2.2 ","1.1 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","VORSPEISE","Blumenkohlrahmsuppe mit Curry","0.99","1.39","false","vegetarisch","La, Sl, GlW","","","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","VEGANER RENNER","Linsen und vegane Spätzle","2.99","5.49","false","vegan,veganer renner","3, Sl, Sw, GlW","390.4","42.6","2452.1","586.0","5.9","2.6"," 97.6 ","10.0 ","26.1 ","5.6 ","385.7","92.0","0.4","0.1"," 14.2 ","2.1 ","5.9 ","0.5 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Linsen und Spätzle mit Saiten","3.90","6.40","false","rind/schwein","2, 3, Ei, Sl, Sf, Sw, GlW, GlD","821.9","130.5","3847.5","919.0","42.0","15.0"," 97.7 ","7.4 ","47.3 ","6.3 ","610.7","146.0","6.7","2.4"," 15.5 ","1.2 ","7.5 ","1.0 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Hähnchenkeule an Schaschliksauce mit Schwenkkartoffeln","4.60","7.10","false","geflügel","8, Sl, GlW","1109.3","170.4","4298.5","999.9","61.6","18.9"," 61.8 ","13.9 ","54.2 ","5.7 ","660.3","158.0","9.5","2.9"," 9.5 ","2.1 ","8.3 ","0.9 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","AKTION","Burger Bar","1.10","1.60","true","rind/schwein","1, 2, 3, 5, 7, 8, Ei, La, Sf, Se, Sw, GlW, GlD, GlR, GlG, GlH","410.1","","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 ","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Soja-Pflaume mit Mienudeln Schweinefleischstreifen zum Wokgericht","1.10","1.60","true","schwein","So, GlW","1242.1","","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 ","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Soja-Pflaume mit Mienudeln","1.10","1.60","true","vegan","So, GlW","288.5","","1884.8","450.0","1.6","0.4"," 88.3 ","25.0 ","14.3 ","7.4 ","1884.8","450.0","1.6","0.4"," 88.3 ","25.0 ","14.3 ","7.4 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","AKTION","Flammkuchen Elsässer Art","4.95","7.45","false","schwein","1, 3, La, GlW","","","3222.2","770.0","39.0","19.2"," 81.1 ","3.0 ","23.7 ","4.7 ","1074.1","257.0","13.0","6.4"," 27.0 ","1.0 ","7.9 ","1.6 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","BEILAGE","Karottengemüse","0.99","1.39","false","vegan"," 
													
Nährwerte pro PortionBrennwert: 0.0 kj / 979.0 kcalFett: 0.0 g - davon ges. FS: 0.0 gKohlenhydrate: 0.0 g - davon Zucker: 0.0 gEiweiß: 0.0 gSalz: 0.0 g


 ","","","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","BEILAGE","Pommes frites","1.19","1.59","false","vegan"," 
													
CO2 pro Portion1296.4 gNährwerte pro PortionBrennwert: 2029.3 kj / 485.0 kcalFett: 30.1 g - davon ges. FS: 6.6 gKohlenhydrate: 46.2 g - davon Zucker: 1.1 gEiweiß: 5.5 gSalz: 1.1 g
CO2 pro 100 g589.3 gNährwerte pro 100 gBrennwert: 922.4 kj / 220.0 kcalFett: 13.7 g - davon ges. FS: 3.0 gKohlenhydrate: 21.0 g - davon Zucker: 0.5 gEiweiß: 2.5 gSalz: 0.5 g

 ","1296.4","589.3","2029.3","485.0","30.1","6.6"," 46.2 ","1.1 ","5.5 ","1.1 ","922.4","220.0","13.7","3.0"," 21.0 ","0.5 ","2.5 ","0.5 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","BEILAGE","Schwenkkartoffeln","0.99","1.39","false","vegan"," 
													
CO2 pro Portion55.1 gNährwerte pro PortionBrennwert: 1064.3 kj / 254.0 kcalFett: 8.9 g - davon ges. FS: 2.5 gKohlenhydrate: 37.0 g - davon Zucker: 2.0 gEiweiß: 5.0 gSalz: 0.5 g
CO2 pro 100 g22.0 gNährwerte pro 100 gBrennwert: 425.7 kj / 102.0 kcalFett: 3.5 g - davon ges. FS: 1.0 gKohlenhydrate: 14.8 g - davon Zucker: 0.8 gEiweiß: 2.0 gSalz: 0.2 g

 ","55.1","22.0","1064.3","254.0","8.9","2.5"," 37.0 ","2.0 ","5.0 ","0.5 ","425.7","102.0","3.5","1.0"," 14.8 ","0.8 ","2.0 ","0.2 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","BEILAGE","Spätzle","1.19","1.59","false","vegetarisch","Ei, GlW, GlD","239.9","120.0","1486.0","355.0","10.4","3.3"," 51.6 ","0.4 ","13.2 ","3.6 ","743.0","177.0","5.2","1.6"," 25.8 ","0.2 ","6.6 ","1.8 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","SALAT","Beilagensalat","0.99","1.39","false","vegan"," 
													
CO2 pro Portion14.9 gNährwerte pro PortionBrennwert: 41.5 kj / 10.0 kcalFett: 0.1 g - davon ges. FS: 0.0 gKohlenhydrate: 1.1 g - davon Zucker: 0.9 gEiweiß: 0.8 gSalz: 0.1 g
CO2 pro 100 g29.8 gNährwerte pro 100 gBrennwert: 83.0 kj / 20.0 kcalFett: 0.2 g - davon ges. FS: 0.1 gKohlenhydrate: 2.2 g - davon Zucker: 1.8 gEiweiß: 1.6 gSalz: 0.1 g

 ","14.9","29.8","41.5","10.0","0.1","0.0"," 1.1 ","0.9 ","0.8 ","0.1 ","83.0","20.0","0.2","0.1"," 2.2 ","1.8 ","1.6 ","0.1 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","DESSERT","Sahneschokopudding","1.19","1.59","false","vegetarisch","La","546.4","237.6","1446.9","346.0","17.9","12.4"," 39.1 ","27.6 ","6.3 ","0.4 ","629.1","150.0","7.8","5.4"," 17.0 ","12.0 ","2.8 ","0.2 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","DESSERT","Himbeerquark","1.19","1.59","false","vegetarisch","La","684.5","326.0","666.5","159.0","0.6","0.0"," 21.4 ","21.4 ","15.2 ","0.2 ","317.4","76.0","0.3","0.0"," 10.2 ","10.2 ","7.2 ","0.1 "
"2023-01-11","MENSA STUTTGART-VAIHINGEN","BUFFET","Salatbuffet","1.10","1.60","true","vegetarisch","2, 3, 5, 8, 10, Ei, La, Sl, Sf, Se, Sw, GlW","2961.4","88.7","9999.9","999.9","242.8","37.4"," 379.1 ","187.5 ","76.5 ","36.4 ","526.3","126.0","7.4","1.1"," 11.8 ","5.9 ","2.2 ","1.1 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","VORSPEISE","Linsensuppe","0.99","1.39","false","vegan","3, Sl","","","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","VEGANER RENNER","Bandnudeln mit Rucola-Sonnenblumenkernpesto","2.99","5.49","false","vegan,veganer renner","GlW","279.8","57.1","3261.9","779.0","32.7","3.7"," 95.9 ","7.2 ","22.3 ","5.1 ","665.7","159.0","6.7","0.8"," 19.6 ","1.5 ","4.6 ","1.0 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Semmelknödel mit Rahmchampignons","3.60","6.10","false","vegetarisch","3, Ei, La, Sl, GlW","1058.4","216.0","1190.8","284.0","15.8","7.6"," 87.2 ","7.8 ","27.2 ","6.5 ","243.0","58.0","3.2","1.6"," 17.8 ","1.6 ","5.5 ","1.3 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Scharfe Chicken Wings mit Barbecusauce, Farmersalat und Country Potatoes","5.10","7.60","false","geflügel","2, 3, 8, Ei, Sf, Sw, GlW","2526.6","353.4","4787.9","999.9","66.9","16.4"," 65.7 ","17.8 ","57.9 ","13.4 ","669.6","160.0","9.4","2.3"," 9.2 ","2.5 ","8.1 ","1.9 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","AKTION","Burger Bar","1.10","1.60","true","rind/schwein","1, 2, 3, 5, 7, 8, Ei, La, Sf, Se, Sw, GlW, GlD, GlR, GlG, GlH","410.1","","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 ","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Soja-Pflaume mit Mienudeln Schweinefleischstreifen zum Wokgericht","1.10","1.60","true","schwein","So, GlW","1242.1","","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 ","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Soja-Pflaume mit Mienudeln","1.10","1.60","true","vegan","So, GlW","288.5","","1884.8","450.0","1.6","0.4"," 88.3 ","25.0 ","14.3 ","7.4 ","1884.8","450.0","1.6","0.4"," 88.3 ","25.0 ","14.3 ","7.4 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","AKTION","Flammkuchen Elsässer Art","4.95","7.45","false","schwein","1, 3, La, GlW","","","3222.2","770.0","39.0","19.2"," 81.1 ","3.0 ","23.7 ","4.7 ","1074.1","257.0","13.0","6.4"," 27.0 ","1.0 ","7.9 ","1.6 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","BEILAGE","Grüne Bohnen","0.99","1.39","false","vegan","Sl","","","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","BEILAGE","Pommes frites","1.19","1.59","false","vegan"," 
													
Nährwerte pro PortionBrennwert: 0.0 kj / 999.9 kcalFett: 0.0 g - davon ges. FS: 0.0 gKohlenhydrate: 0.0 g - davon Zucker: 0.0 gEiweiß: 0.0 gSalz: 0.0 g


 ","","","0.0","999.9","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","999.9","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","BEILAGE","Country Potatoes","1.19","1.59","false","vegan","GlW","1297.3","589.7","2044.9","488.0","31.3","7.7"," 44.1 ","1.1 ","5.5 ","3.6 ","929.5","222.0","14.2","3.5"," 20.0 ","0.5 ","2.5 ","1.7 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","SALAT","Beilagensalat","0.99","1.39","false","vegan"," 
													
CO2 pro Portion14.9 gNährwerte pro PortionBrennwert: 41.5 kj / 10.0 kcalFett: 0.1 g - davon ges. FS: 0.0 gKohlenhydrate: 1.1 g - davon Zucker: 0.9 gEiweiß: 0.8 gSalz: 0.1 g
CO2 pro 100 g29.8 gNährwerte pro 100 gBrennwert: 83.0 kj / 20.0 kcalFett: 0.2 g - davon ges. FS: 0.1 gKohlenhydrate: 2.2 g - davon Zucker: 1.8 gEiweiß: 1.6 gSalz: 0.1 g

 ","14.9","29.8","41.5","10.0","0.1","0.0"," 1.1 ","0.9 ","0.8 ","0.1 ","83.0","20.0","0.2","0.1"," 2.2 ","1.8 ","1.6 ","0.1 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","DESSERT","Früchtemüsli","1.19","1.59","false","vegetarisch","3, La, GlG, GlH, NuM, NuH","649.8","345.6","1060.4","253.0","6.6","2.1"," 35.7 ","19.2 ","11.1 ","0.2 ","564.1","135.0","3.5","1.1"," 19.0 ","10.2 ","5.9 ","0.1 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","DESSERT","Bayerische Creme mit Zimtkirschen","1.19","1.59","false","","La, GeR","344.0","237.3","2623.5","627.0","10.9","7.1"," 37.9 ","29.9 ","3.8 ","0.2 ","1809.3","432.0","7.5","4.9"," 26.1 ","20.7 ","2.7 ","0.1 "
"2023-01-12","MENSA STUTTGART-VAIHINGEN","BUFFET","Salatbuffet","1.10","1.60","true","vegetarisch","2, 3, 5, 8, 10, Ei, La, Sl, Sf, Se, Sw, GlW","2961.4","88.7","9999.9","999.9","242.8","37.4"," 379.1 ","187.5 ","76.5 ","36.4 ","526.3","126.0","7.4","1.1"," 11.8 ","5.9 ","2.2 ","1.1 "
"2023-01-13","MENSA STUTTGART-VAIHINGEN","VORSPEISE","Pilzcremesuppe","0.99","1.39","false","vegetarisch","3, La, Sl, GlW","","","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 ","0.0","979.0","0.0","0.0"," 0.0 ","0.0 ","0.0 ","0.0 "
